topic,title,section,text,raw_document,cleaned_document
get-started,International Student Life Cycle,Studying in the United States,"You must report to your school by the program start date listed on your Form I-20 . Once school starts, you must follow specific rules to legally remain in the United States. Visit the Maintaining Status page for more information about how to properly comply. Engage in a full course of study during your time as an international student. The definition of a full course of study varies depending on both your status (F-1 or M-1) and the program of study you attend. International students may also be eligible to transfer to a new school , although the circumstances for eligibility vary depending on your student status. For more information please visit the following pages: Instructions for Transferring to Another School as an F-1 Student . Instructions for Transferring to Another School as an M-1 Student . If you need more time to complete your program of study than what is listed on your Form I-20, talk to your DSO. Because CBP admits F-1 students for duration of status, F-1 students do not have to officially file for extensions but will need an updated Form I-20 from their DSO. However, M-1 students who need more time must apply for an extension of stay with the U.S. Customs and Immigration Services (USCIS). For more information about this process, please visit the M-1 Extensions of Stay resource page.","International Student Life Cycle
Studying in the United States
You must report to your school by the program start date listed on your Form I-20 . Once school starts, you must follow specific rules to legally remain in the United States. Visit the Maintaining Status page for more information about how to properly comply. Engage in a full course of study during your time as an international student. The definition of a full course of study varies depending on both your status (F-1 or M-1) and the program of study you attend. International students may also be eligible to transfer to a new school , although the circumstances for eligibility vary depending on your student status. For more information please visit the following pages: Instructions for Transferring to Another School as an F-1 Student . Instructions for Transferring to Another School as an M-1 Student . If you need more time to complete your program of study than what is listed on your Form I-20, talk to your DSO. Because CBP admits F-1 students for duration of status, F-1 students do not have to officially file for extensions but will need an updated Form I-20 from their DSO. However, M-1 students who need more time must apply for an extension of stay with the U.S. Customs and Immigration Services (USCIS). For more information about this process, please visit the M-1 Extensions of Stay resource page.",international student life cycle studying united states must report school program start date listed form i-20 school starts must follow specific rules legally remain united states visit maintaining status page information properly comply engage full course study time international student definition full course study varies depending status f-1 m-1 program study attend international students may also eligible transfer new school although circumstances eligibility vary depending student status information please visit following pages instructions transferring another school f-1 student instructions transferring another school m-1 student need time complete program study listed form i-20 talk dso cbp admits f-1 students duration status f-1 students officially file extensions need updated form i-20 dso however m-1 students need time must apply extension stay u s customs immigration services uscis information process please visit m-1 extensions stay resource page
get-started,International Student Life Cycle,Using Your Student Benefits,"F and M students may be eligible for certain benefits while they study in the United States. These include applying for a driver’s license, taking advantage of practical training opportunities and, under certain circumstances, working. U.S. Citizenship and Immigration Services (USCIS) authorizes practical training opportunities and some employment opportunities . If you are an F or M student, work with your designated school official to apply for these benefits through USCIS. For more information about these benefits, please visit the following resource pages: Driving in the United States . Training Opportunities in the United States . Working in the United States . Obtaining a Social Security Number .","International Student Life Cycle
Using Your Student Benefits
F and M students may be eligible for certain benefits while they study in the United States. These include applying for a driver’s license, taking advantage of practical training opportunities and, under certain circumstances, working. U.S. Citizenship and Immigration Services (USCIS) authorizes practical training opportunities and some employment opportunities . If you are an F or M student, work with your designated school official to apply for these benefits through USCIS. For more information about these benefits, please visit the following resource pages: Driving in the United States . Training Opportunities in the United States . Working in the United States . Obtaining a Social Security Number .",international student life cycle using student benefits f students may eligible certain benefits study united states include applying driver s license taking advantage practical training opportunities certain circumstances working u s citizenship immigration services uscis authorizes practical training opportunities employment opportunities f student work designated school official apply benefits uscis information benefits please visit following resource pages driving united states training opportunities united states working united states obtaining social security number
get-started,International Student Life Cycle,Completing Your Program of Study,"After completing your program of study, F students must depart the United States within 60 days of their program end date and M students must depart within 30 days. However, under certain circumstances, you may be eligible to remain in the United States: F-1 students interested in continuing their education should talk to their DSO about their options prior to graduation. Your DSO can help you navigate how to transfer your SEVIS record to a new program of study (if necessary). Visit the Transferring to Another School page for more information. F-1 students may be eligible to participate in post-completion optional practical training. M-1 students may also need to complete practical training once their coursework is complete. Visit the Training Opportunities in the United States page for more information. If your purpose in the United States changes after graduation, you will need to apply for a change of status with USCIS. Visit the Change of Status page for more information.","International Student Life Cycle
Completing Your Program of Study
After completing your program of study, F students must depart the United States within 60 days of their program end date and M students must depart within 30 days. However, under certain circumstances, you may be eligible to remain in the United States: F-1 students interested in continuing their education should talk to their DSO about their options prior to graduation. Your DSO can help you navigate how to transfer your SEVIS record to a new program of study (if necessary). Visit the Transferring to Another School page for more information. F-1 students may be eligible to participate in post-completion optional practical training. M-1 students may also need to complete practical training once their coursework is complete. Visit the Training Opportunities in the United States page for more information. If your purpose in the United States changes after graduation, you will need to apply for a change of status with USCIS. Visit the Change of Status page for more information.",international student life cycle completing program study completing program study f students must depart united states within 60 days program end date students must depart within 30 days however certain circumstances may eligible remain united states f-1 students interested continuing education talk dso options prior graduation dso help navigate transfer sevis record new program study necessary visit transferring another school page information f-1 students may eligible participate post-completion optional practical training m-1 students may also need complete practical training coursework complete visit training opportunities united states page information purpose united states changes graduation need apply change status uscis visit change status page information
get-started,Kindergarten to Grade 12 Students,K-12 Schools in the United States,"In the United States, students begin formal education around age five or six. Generally, elementary and secondary school grades kindergarten through grade 12 (K-12) are required, after which a student may choose to attend college or university. There are two types of kindergarten through grade 12 (K-12) schools in the United States: public and private. Laws regarding compulsory education vary by state. They address starting and ending ages, as well as level of participation. These laws apply to both public and private K-12 schools. For a better understanding of these requirements, please visit our Kindergarten to Grade 12 Schools page and talk to school officials in the state where the student plans to live. SEVP can certify a private school for F-1 or M-1 student enrollment in any or all of its K-12 programs. SEVP can certify a public school for F-1 or M-1 student enrollment in grades 9-12, which is limited to a maximum of 12 months.","Kindergarten to Grade 12 Students
K-12 Schools in the United States
In the United States, students begin formal education around age five or six. Generally, elementary and secondary school grades kindergarten through grade 12 (K-12) are required, after which a student may choose to attend college or university. There are two types of kindergarten through grade 12 (K-12) schools in the United States: public and private. Laws regarding compulsory education vary by state. They address starting and ending ages, as well as level of participation. These laws apply to both public and private K-12 schools. For a better understanding of these requirements, please visit our Kindergarten to Grade 12 Schools page and talk to school officials in the state where the student plans to live. SEVP can certify a private school for F-1 or M-1 student enrollment in any or all of its K-12 programs. SEVP can certify a public school for F-1 or M-1 student enrollment in grades 9-12, which is limited to a maximum of 12 months.",kindergarten grade 12 students k-12 schools united states united states students begin formal education around age five six generally elementary secondary school grades kindergarten grade 12 k-12 required student may choose attend college university two types kindergarten grade 12 k-12 schools united states public private laws regarding compulsory education vary state address starting ending ages well level participation laws apply public private k-12 schools better understanding requirements please visit kindergarten grade 12 schools page talk school officials state student plans live sevp certify private school f-1 m-1 student enrollment k-12 programs sevp certify public school f-1 m-1 student enrollment grades 9-12 limited maximum 12 months
get-started,Kindergarten to Grade 12 Students,Financial Information,"Prospective international students who wish to study in the United States must be able to prove their ability to pay for their educational program, a place to stay and other applicable living expenses while in the United States. Determination of the living expenses figure is an institutional decision and schools must receive a student’s financial evidence and report the student’s assets before issuing the Form I-20, ""Certificate of Eligibility for Nonimmigrant Student Status."" While F-1 and M-1 students are not eligible for U.S. government-funded financial aid, private schools may decide to award financial aid or scholarships to a student. This ability to award financial aid is dependent on the school’s financial aid policies and governing regulations. Prospective international students can use government tools and information, such as EducationUSA’s Find Financial Aid tool , to access financial aid resources designed specifically for international students.","Kindergarten to Grade 12 Students
Financial Information
Prospective international students who wish to study in the United States must be able to prove their ability to pay for their educational program, a place to stay and other applicable living expenses while in the United States. Determination of the living expenses figure is an institutional decision and schools must receive a student’s financial evidence and report the student’s assets before issuing the Form I-20, ""Certificate of Eligibility for Nonimmigrant Student Status."" While F-1 and M-1 students are not eligible for U.S. government-funded financial aid, private schools may decide to award financial aid or scholarships to a student. This ability to award financial aid is dependent on the school’s financial aid policies and governing regulations. Prospective international students can use government tools and information, such as EducationUSA’s Find Financial Aid tool , to access financial aid resources designed specifically for international students.",kindergarten grade 12 students financial information prospective international students wish study united states must able prove ability pay educational program place stay applicable living expenses united states determination living expenses figure institutional decision schools must receive student s financial evidence report student s assets issuing form i-20 certificate eligibility nonimmigrant student status f-1 m-1 students eligible u s government-funded financial aid private schools may decide award financial aid scholarships student ability award financial aid dependent school s financial aid policies governing regulations prospective international students use government tools information educationusa s find financial aid tool access financial aid resources designed specifically international students
get-started,Kindergarten to Grade 12 Students,Attending Public Secondary Schools,"Local, state and federal tax revenue funds public schools. An F-1 or M-1 student may attend a Student and Exchange Visitor Program (SEVP)-certified public secondary school (i.e., high school; grades 9-12), with certain restrictions: For a maximum period of 12 months—This time limit includes all public schools the student attends. An F-1 or M-1 student cannot spend a year at one public high school and then transfer to another public high school; however, you can transfer to an SEVP-certified private school to continue toward a diploma. Must pay the full, unsubsidized per capita cost of attending the school district. Payment of this fee must occur before the student applies for an F-1 or M-1 visa. You must be able to present proof of this payment at the visa interview and at the port of entry when applying for admission into the United States. For more information, contact the school’s designated school official (DSO). An F-1 or M-1 student may not attend a public school for grades kindergarten through eight because those schools cannot be SEVP-certified. For more information concerning the SEVP rules and regulations for public high schools, please visit our Grade 9 to Grade 12 Public Schools page .","Kindergarten to Grade 12 Students
Attending Public Secondary Schools
Local, state and federal tax revenue funds public schools. An F-1 or M-1 student may attend a Student and Exchange Visitor Program (SEVP)-certified public secondary school (i.e., high school; grades 9-12), with certain restrictions: For a maximum period of 12 months—This time limit includes all public schools the student attends. An F-1 or M-1 student cannot spend a year at one public high school and then transfer to another public high school; however, you can transfer to an SEVP-certified private school to continue toward a diploma. Must pay the full, unsubsidized per capita cost of attending the school district. Payment of this fee must occur before the student applies for an F-1 or M-1 visa. You must be able to present proof of this payment at the visa interview and at the port of entry when applying for admission into the United States. For more information, contact the school’s designated school official (DSO). An F-1 or M-1 student may not attend a public school for grades kindergarten through eight because those schools cannot be SEVP-certified. For more information concerning the SEVP rules and regulations for public high schools, please visit our Grade 9 to Grade 12 Public Schools page .",kindergarten grade 12 students attending public secondary schools local state federal tax revenue funds public schools f-1 m-1 student may attend student exchange visitor program sevp -certified public secondary school e high school grades 9-12 certain restrictions maximum period 12 months time limit includes public schools student attends f-1 m-1 student cannot spend year one public high school transfer another public high school however transfer sevp-certified private school continue toward diploma must pay full unsubsidized per capita cost attending school district payment fee must occur student applies f-1 m-1 visa must able present proof payment visa interview port entry applying admission united states information contact school s designated school official dso f-1 m-1 student may attend public school grades kindergarten eight schools cannot sevp-certified information concerning sevp rules regulations public high schools please visit grade 9 grade 12 public schools page
get-started,Kindergarten to Grade 12 Students,Attending Private K-12 Schools,"Unlike public schools that are primarily funded by local, state and federal tax revenue, tuition funds private schools. International students may apply for F-1 or M-1 status to attend a private, SEVP-certified school for grades K-12. Unlike public schools, regulations place no limit on the length of time an F-1 student may attend a private, SEVP-certified school. For more information concerning the SEVP rules and regulations for private K-12 schools, please visit our Kindergarten to Grade 12 Private Schools page .","Kindergarten to Grade 12 Students
Attending Private K-12 Schools
Unlike public schools that are primarily funded by local, state and federal tax revenue, tuition funds private schools. International students may apply for F-1 or M-1 status to attend a private, SEVP-certified school for grades K-12. Unlike public schools, regulations place no limit on the length of time an F-1 student may attend a private, SEVP-certified school. For more information concerning the SEVP rules and regulations for private K-12 schools, please visit our Kindergarten to Grade 12 Private Schools page .",kindergarten grade 12 students attending private k-12 schools unlike public schools primarily funded local state federal tax revenue tuition funds private schools international students may apply f-1 m-1 status attend private sevp-certified school grades k-12 unlike public schools regulations place limit length time f-1 student may attend private sevp-certified school information concerning sevp rules regulations private k-12 schools please visit kindergarten grade 12 private schools page
get-started,Kindergarten to Grade 12 Students,After Grade 12,"A graduating F-1 high school student, whether at a public or a private school, who would like to continue studying in the United States, may apply to an SEVP-certified college or university. As with graduating domestic high school students, it is in your best interest to initiate the application and approval for college in the United States well in advance of high school graduation. F-1 student SEVIS records will need to be transferred to the accepting college or university. For information about transferring, please visit Transfer for F-1 Students on ICE.gov/SEVP . If you are an F-2 or M-2 dependent who wants to continue studying in the United States, you can learn more on the Change of Status page.","Kindergarten to Grade 12 Students
After Grade 12
A graduating F-1 high school student, whether at a public or a private school, who would like to continue studying in the United States, may apply to an SEVP-certified college or university. As with graduating domestic high school students, it is in your best interest to initiate the application and approval for college in the United States well in advance of high school graduation. F-1 student SEVIS records will need to be transferred to the accepting college or university. For information about transferring, please visit Transfer for F-1 Students on ICE.gov/SEVP . If you are an F-2 or M-2 dependent who wants to continue studying in the United States, you can learn more on the Change of Status page.",kindergarten grade 12 students grade 12 graduating f-1 high school student whether public private school would like continue studying united states may apply sevp-certified college university graduating domestic high school students best interest initiate application approval college united states well advance high school graduation f-1 student sevis records need transferred accepting college university information transferring please visit transfer f-1 students ice gov sevp f-2 m-2 dependent wants continue studying united states learn change status page
get-started,Kindergarten to Grade 12 Students,Special notes for minor children of F-1 and M-1 students,"A minor F-2 or M-2 dependent of an F-1 or M-1 student may attend public K-12 school at the appropriate grade level without any additional permission or documentation from SEVP. State education laws may require that F-2 and M-2 students attend the appropriate grade level until a certain age. The elementary or secondary school an F-2 or M-2 student attends does not need to be SEVP-certified. For a minor F-2 or M-2 dependent to transfer from a public school to a private school, the F-1 or M-1 student and/or F-2 spouse, if applicable, should talk to the school’s DSO. If you are an F-2 or M-2 dependent who wants to continue studying in the United States, you can learn more on the Change of Status page.","Kindergarten to Grade 12 Students
Special notes for minor children of F-1 and M-1 students
A minor F-2 or M-2 dependent of an F-1 or M-1 student may attend public K-12 school at the appropriate grade level without any additional permission or documentation from SEVP. State education laws may require that F-2 and M-2 students attend the appropriate grade level until a certain age. The elementary or secondary school an F-2 or M-2 student attends does not need to be SEVP-certified. For a minor F-2 or M-2 dependent to transfer from a public school to a private school, the F-1 or M-1 student and/or F-2 spouse, if applicable, should talk to the school’s DSO. If you are an F-2 or M-2 dependent who wants to continue studying in the United States, you can learn more on the Change of Status page.",kindergarten grade 12 students special notes minor children f-1 m-1 students minor f-2 m-2 dependent f-1 m-1 student may attend public k-12 school appropriate grade level without additional permission documentation sevp state education laws may require f-2 m-2 students attend appropriate grade level certain age elementary secondary school f-2 m-2 student attends need sevp-certified minor f-2 m-2 dependent transfer public school private school f-1 m-1 student f-2 spouse applicable talk school s dso f-2 m-2 dependent wants continue studying united states learn change status page
get-started,Programs of Study,,"The United States offers an unparalleled variety of program options for F or M students. All programs of study F and M students attend must be certified by the Student and Exchange Visitor Program (SEVP). To find an SEVP-certified school or program, visit the Study in the States school search page . Below are examples of programs offered to eligible F or M students in the United States.","Programs of Study
The United States offers an unparalleled variety of program options for F or M students. All programs of study F and M students attend must be certified by the Student and Exchange Visitor Program (SEVP). To find an SEVP-certified school or program, visit the Study in the States school search page . Below are examples of programs offered to eligible F or M students in the United States.",programs study united states offers unparalleled variety program options f students programs study f students attend must certified student exchange visitor program sevp find sevp-certified school program visit study states school search page examples programs offered eligible f students united states
get-started,Programs of Study,K-12 Schools,"In the United States, students usually begin a formal educational program around age five or six in kindergarten. Children then complete grade levels one to 12 before attending college or university. There are two types of kindergarten through grade 12 (K-12) schools in the United States: public and private. Laws regarding ages for compulsory education vary by state. These laws apply to both public and private K-12 schools. To learn more about attending a K-12 school, visit the Kindergarten to Grade 12 page .","Programs of Study
K-12 Schools
In the United States, students usually begin a formal educational program around age five or six in kindergarten. Children then complete grade levels one to 12 before attending college or university. There are two types of kindergarten through grade 12 (K-12) schools in the United States: public and private. Laws regarding ages for compulsory education vary by state. These laws apply to both public and private K-12 schools. To learn more about attending a K-12 school, visit the Kindergarten to Grade 12 page .",programs study k-12 schools united states students usually begin formal educational program around age five six kindergarten children complete grade levels one 12 attending college university two types kindergarten grade 12 k-12 schools united states public private laws regarding ages compulsory education vary state laws apply public private k-12 schools learn attending k-12 school visit kindergarten grade 12 page
get-started,Programs of Study,Community Colleges,"Community colleges, sometimes called junior colleges, are two-year schools that can provide affordable postsecondary education as a pathway to a four-year degree. For more information about community colleges, visit our What is a Community College? blog post .","Programs of Study
Community Colleges
Community colleges, sometimes called junior colleges, are two-year schools that can provide affordable postsecondary education as a pathway to a four-year degree. For more information about community colleges, visit our What is a Community College? blog post .",programs study community colleges community colleges sometimes called junior colleges two-year schools provide affordable postsecondary education pathway four-year degree information community colleges visit community college blog post
get-started,Programs of Study,STEM,"When researching programs of study in the United States, you will likely see opportunities referred to as STEM programs. STEM is an acronym for the fields of science, technology, engineering and math. There are many Student and Exchange Visitor Program-certified schools that offer undergraduate and graduate opportunities to study in STEM programs. To find out more about STEM, visit the What is STEM? blog post .","Programs of Study
STEM
When researching programs of study in the United States, you will likely see opportunities referred to as STEM programs. STEM is an acronym for the fields of science, technology, engineering and math. There are many Student and Exchange Visitor Program-certified schools that offer undergraduate and graduate opportunities to study in STEM programs. To find out more about STEM, visit the What is STEM? blog post .",programs study stem researching programs study united states likely see opportunities referred stem programs stem acronym fields science technology engineering math many student exchange visitor program-certified schools offer undergraduate graduate opportunities study stem programs find stem visit stem blog post
get-started,Programs of Study,Undergraduate and Graduate Schools,"An international student may enroll in an undergraduate program to earn an associate’s or bachelor’s degree. When enrolled in graduate school, a student earns a master’s and/or doctorate degree. Remember that each program is different, so you should do your research to make sure the one you select matches your interests and goals. For more information about the difference between a undergraduate and graduate program, visit our Graduate School in the United States blog post .","Programs of Study
Undergraduate and Graduate Schools
An international student may enroll in an undergraduate program to earn an associate’s or bachelor’s degree. When enrolled in graduate school, a student earns a master’s and/or doctorate degree. Remember that each program is different, so you should do your research to make sure the one you select matches your interests and goals. For more information about the difference between a undergraduate and graduate program, visit our Graduate School in the United States blog post .",programs study undergraduate graduate schools international student may enroll undergraduate program earn associate s bachelor s degree enrolled graduate school student earns master s doctorate degree remember program different research make sure one select matches interests goals information difference undergraduate graduate program visit graduate school united states blog post
get-started,Programs of Study,English Language Training,"English language training programs are for international students who want to pursue an English language training course of study. The Student and Exchange Visitor Program (SEVP) defines two types of English language training: A “stand-alone” English language training program is an SEVP-certified institution whose officials have indicated on the school's Form I-17, “Petition for Approval of School for Attendance by Nonimmigrant Student,” that the school offers only English language training programs of study. A “combined” English language training program is an SEVP-certified institution whose officials have indicated on the school's Form I-17 that the school offers an English language training program of study, as well as other programs of study. To learn more, please visit the English Language Training Note: “English language training program” is the term used in 8 CFR 214. SEVP uses this term as synonymous with English as a second language (ESL), English speakers of other languages (ESOL), Intensive English Program (IEP), etc.","Programs of Study
English Language Training
English language training programs are for international students who want to pursue an English language training course of study. The Student and Exchange Visitor Program (SEVP) defines two types of English language training: A “stand-alone” English language training program is an SEVP-certified institution whose officials have indicated on the school's Form I-17, “Petition for Approval of School for Attendance by Nonimmigrant Student,” that the school offers only English language training programs of study. A “combined” English language training program is an SEVP-certified institution whose officials have indicated on the school's Form I-17 that the school offers an English language training program of study, as well as other programs of study. To learn more, please visit the English Language Training Note: “English language training program” is the term used in 8 CFR 214. SEVP uses this term as synonymous with English as a second language (ESL), English speakers of other languages (ESOL), Intensive English Program (IEP), etc.",programs study english language training english language training programs international students want pursue english language training course study student exchange visitor program sevp defines two types english language training stand-alone english language training program sevp-certified institution whose officials indicated school s form i-17 petition approval school attendance nonimmigrant student school offers english language training programs study combined english language training program sevp-certified institution whose officials indicated school s form i-17 school offers english language training program study well programs study learn please visit english language training note english language training program term used 8 cfr 214 sevp uses term synonymous english second language esl english speakers languages esol intensive english program iep etc
get-started,What is a Commission-Based Recruiter?,,"As you begin your journey of preparing to study in the United States, you may be considering the option of consulting service providers to help you in this process. Depending on where you live, such services could include a recruiter, broker or agent who charges fees or receives a commission for such things as helping you obtain a student visa, housing or other services. A recruiter is often known as Zhongjie in China and Yeo Haeng Saa in Korea. You do not need to use a recruiter in order to obtain a United States student visa. Free information about applying for an F or M visa is available from the Department of State's website. It is important to know your rights and responsibilities and the problems you could encounter by hiring an agent or recruiter. You must ensure that your living arrangements in the United States are adequate for your needs. The arrangements a recruiter makes for you may not match how the recruiter describes them to you. A recruiter cannot prevent you from moving to a new living arrangement. Also, the fees paid for your housing should not be tied to the agent or recruiter. You must ensure that the school where you enroll meets your educational objectives. If it does not, a recruiter cannot prevent you from transferring to another school. Be aware that the U.S. government cannot force recruiters to refund fees you have paid to them for not meeting your expectations (such as bad living arrangements or the school program not providing what you expected).","What is a Commission-Based Recruiter?
As you begin your journey of preparing to study in the United States, you may be considering the option of consulting service providers to help you in this process. Depending on where you live, such services could include a recruiter, broker or agent who charges fees or receives a commission for such things as helping you obtain a student visa, housing or other services. A recruiter is often known as Zhongjie in China and Yeo Haeng Saa in Korea. You do not need to use a recruiter in order to obtain a United States student visa. Free information about applying for an F or M visa is available from the Department of State's website. It is important to know your rights and responsibilities and the problems you could encounter by hiring an agent or recruiter. You must ensure that your living arrangements in the United States are adequate for your needs. The arrangements a recruiter makes for you may not match how the recruiter describes them to you. A recruiter cannot prevent you from moving to a new living arrangement. Also, the fees paid for your housing should not be tied to the agent or recruiter. You must ensure that the school where you enroll meets your educational objectives. If it does not, a recruiter cannot prevent you from transferring to another school. Be aware that the U.S. government cannot force recruiters to refund fees you have paid to them for not meeting your expectations (such as bad living arrangements or the school program not providing what you expected).",commission-based recruiter begin journey preparing study united states may considering option consulting service providers help process depending live services could include recruiter broker agent charges fees receives commission things helping obtain student visa housing services recruiter often known zhongjie china yeo haeng saa korea need use recruiter order obtain united states student visa free information applying f visa available department state s website important know rights responsibilities problems could encounter hiring agent recruiter must ensure living arrangements united states adequate needs arrangements recruiter makes may match recruiter describes recruiter cannot prevent moving new living arrangement also fees paid housing tied agent recruiter must ensure school enroll meets educational objectives recruiter cannot prevent transferring another school aware u s government cannot force recruiters refund fees paid meeting expectations bad living arrangements school program providing expected
get-started,What is a Commission-Based Recruiter?,What if I choose to use a recruiter?,"If you choose to use a recruiter, the following information comes from students who had successful experiences with their recruiters: Look for a recruiter with a legitimate reputation in your home community. Ask peers, current teachers or other people who have used the recruiter about their experience. Be wary of recruiters that do not detail what services will be provided for a particular fee or who do not provide sufficient detail about their background, training or experience in the industry when you ask them. Be wary of any recruiter who promises that you can work without restrictions while attending school. The designated school official (DSO) at your Student and Exchange Visitor Program (SEVP)-certified school can authorize some types of employment for you and must do so before you can begin. For other types of employment, you need your DSO’s recommendation and authorization from U.S. Citizenship and Immigration Services (USCIS). There is no employment that you can legally do in the United States without coordinating with your DSO. Any work pursued outside of this process may be grounds for termination from the school. Do your own research on the schools with which the recruiter partners and determine how the academic community, both in your country and in the United States, perceives the school. Before you work with the recruiter, determine for yourself if the school is right for you. EducationUSA has more than 400 advising centers in 170 countries around the world. These advisors can help you choose a school and a program of study. There are no fees for receiving their services. Verify that the schools with which the recruiter partners are SEVP-certified. An F or M student may only attend an SEVP-certified school. You can use the Study in the States school search page to make sure the school in which you are interested is SEVP-certified. A recruiter should not offer to write an admissions essay or significantly alter an admissions essay for you on the presumption that a school’s admissions department can be “fooled.” Make sure that the school’s credits will transfer to other schools in the United States. You can ask the DSO to identify schools that accept their credits and then contact those schools to confirm this agreement between the schools.","What is a Commission-Based Recruiter?
What if I choose to use a recruiter?
If you choose to use a recruiter, the following information comes from students who had successful experiences with their recruiters: Look for a recruiter with a legitimate reputation in your home community. Ask peers, current teachers or other people who have used the recruiter about their experience. Be wary of recruiters that do not detail what services will be provided for a particular fee or who do not provide sufficient detail about their background, training or experience in the industry when you ask them. Be wary of any recruiter who promises that you can work without restrictions while attending school. The designated school official (DSO) at your Student and Exchange Visitor Program (SEVP)-certified school can authorize some types of employment for you and must do so before you can begin. For other types of employment, you need your DSO’s recommendation and authorization from U.S. Citizenship and Immigration Services (USCIS). There is no employment that you can legally do in the United States without coordinating with your DSO. Any work pursued outside of this process may be grounds for termination from the school. Do your own research on the schools with which the recruiter partners and determine how the academic community, both in your country and in the United States, perceives the school. Before you work with the recruiter, determine for yourself if the school is right for you. EducationUSA has more than 400 advising centers in 170 countries around the world. These advisors can help you choose a school and a program of study. There are no fees for receiving their services. Verify that the schools with which the recruiter partners are SEVP-certified. An F or M student may only attend an SEVP-certified school. You can use the Study in the States school search page to make sure the school in which you are interested is SEVP-certified. A recruiter should not offer to write an admissions essay or significantly alter an admissions essay for you on the presumption that a school’s admissions department can be “fooled.” Make sure that the school’s credits will transfer to other schools in the United States. You can ask the DSO to identify schools that accept their credits and then contact those schools to confirm this agreement between the schools.",commission-based recruiter choose use recruiter choose use recruiter following information comes students successful experiences recruiters look recruiter legitimate reputation home community ask peers current teachers people used recruiter experience wary recruiters detail services provided particular fee provide sufficient detail background training experience industry ask wary recruiter promises work without restrictions attending school designated school official dso student exchange visitor program sevp -certified school authorize types employment must begin types employment need dso s recommendation authorization u s citizenship immigration services uscis employment legally united states without coordinating dso work pursued outside process may grounds termination school research schools recruiter partners determine academic community country united states perceives school work recruiter determine school right educationusa 400 advising centers 170 countries around world advisors help choose school program study fees receiving services verify schools recruiter partners sevp-certified f student may attend sevp-certified school use study states school search page make sure school interested sevp-certified recruiter offer write admissions essay significantly alter admissions essay presumption school s admissions department fooled make sure school s credits transfer schools united states ask dso identify schools accept credits contact schools confirm agreement schools
